p-value	q-value	pathway	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.68118509369e-20	3.43682070826e-18	superpathway NAD/NADP - NADH/NADPH interconversion	YeastCyc	C00122; C00123; C00021; C00022; C00006; C00062; C00003; C00064; C00149; C01571; C00073; C02679; C00036; C00037; C00078; C00079; C00033; C00019; C00135; C00077; C00065; C00712; C00148; C00082; C00246; C00249; C01595; C00407; C06428; C01530; C00042; C00041; C00047; C00188; C00186; C00097; C00183; C00181	k:C00181; k:C00122; k:C00123; k:C00033; k:C00022; k:C00019; k:C00077; k:C00079; k:C00003; k:C00186; k:C02679; k:C00249; k:C00047; k:C00037; k:C01530; k:C00073; k:C00062; k:C00021; k:C00042; k:C01595; k:C00065; k:C00183; k:C00041; k:C06428; k:C00006; k:C00064; k:C00149; k:C00082; k:C00078; k:C00246; k:C00135; k:C00712; k:C00097; k:C00036; k:C00188; k:C00407; k:C00148; k:C01571	246	198
1.01334692765e-18	3.32065993214e-17	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle)	YeastCyc	C00037; C00078; C00123; C00082; C00407; C00073; C00135; C00062; C00065; C00064; C00041; C00079; C00047; C00188; C00148; C00183; C00097	k:C00037; k:C00123; k:C00073; k:C00062; k:C00047; k:C00078; k:C00135; k:C00079; k:C00065; k:C00183; k:C00041; k:C00097; k:C00064; k:C00188; k:C00407; k:C00148; k:C00082	28	28
1.05335363388e-17	3.20520462881e-16	&gamma;-glutamyl cycle	YeastCyc	C00037; C00078; C00123; C00082; C00407; C00073; C00135; C00062; C00065; C00077; C00064; C00041; C00079; C00047; C00188; C00148; C00183; C00097	k:C00037; k:C00123; k:C00073; k:C00062; k:C00064; k:C00077; k:C00078; k:C00047; k:C00135; k:C00079; k:C00065; k:C00183; k:C00041; k:C00097; k:C00188; k:C00407; k:C00148; k:C00082	37	36
2.9171940436e-16	8.28483108383e-15	ethylene biosynthesis	YeastCyc	C00037; C00078; C00079; C00082; C00407; C00022; C00073; C00135; C00062; C00065; C00064; C00041; C00123; C00047; C00188; C00148; C00003; C00183; C00097	k:C00062; k:C00037; k:C00073; k:C00047; k:C00078; k:C00041; k:C00022; k:C00135; k:C00079; k:C00065; k:C00183; k:C00097; k:C00064; k:C00188; k:C00407; k:C00148; k:C00123; k:C00082; k:C00003	49	48
2.45747601765e-15	6.543029897e-14	methionine salvage pathway	YeastCyc	C00037; C00078; C00079; C00082; C00407; C00022; C00073; C00135; C00062; C00065; C00064; C00041; C00123; C00047; C00188; C00148; C00183; C00097	k:C00064; k:C00037; k:C00022; k:C00062; k:C00047; k:C00041; k:C00078; k:C00135; k:C00079; k:C00065; k:C00183; k:C00073; k:C00097; k:C00188; k:C00407; k:C00148; k:C00123; k:C00082	46	46
5.98135693507e-14	1.49885767902e-12	Transport of vitamins, nucleosides, and related molecules	Reactome	C00024; C06424; C01571; C00249; C00262; C01595; C00299; C01530; C00387; C00214; C00475; C00212; C00712; C02679	k:C00212; k:C00262; k:C06424; k:C00214; k:C01530; k:C01595; k:C00387; k:C00024; k:C00475; k:C00712; k:C02679; k:C00249; k:C00299; k:C01571	28	28
5.18026992166e-13	1.22599721479e-11	Aminoacyl-tRNA biosynthesis - Saccharomyces cerevisiae (budding yeast)	KEGG	C00037; C00078; C00079; C00082; C00073; C00135; C00062; C00407; C00064; C00041; C00123; C00047; C00188; C00148; C00183; C00065; C00097	k:C00073; k:C00037; k:C00407; k:C00079; k:C00078; k:C00062; k:C00188; k:C00183; k:C00082; k:C00041; k:C00047; k:C00123; k:C00064; k:C00065; k:C00148; k:C00097; k:C00135	52	52
2.21190832726e-12	4.95933130218e-11	Transport of inorganic cations/anions and amino acids/oligopeptides	Reactome	C00037; C00078; C00149; C00021; C00082; C00019; C00135; C00062; C00334; C00123; C00047; C00079	k:C00037; k:C00149; k:C00123; k:C00019; k:C00062; k:C00047; k:C00334; k:C00078; k:C00021; k:C00135; k:C00079; k:C00082	26	23
4.46494119804e-12	9.51032475184e-11	D-Amino acid metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00037; C00148; C00079; C00022; C00073; C00135; C00062; C00065; C00077; C00064; C01672; C00041; C00047; C00188; C01157; C00134; C00097	k:C00077; k:C00073; k:C00037; k:C00036; k:C00079; k:C00188; k:C01157; k:C00041; k:C00047; k:C00064; k:C00065; k:C00148; k:C00062; k:C00022; k:C01672; k:C00097; k:C00134; k:C00135	67	67
9.8365199686e-11	1.99540833649e-09	Metabolism of lipids	Reactome	C00024; C00149; C00021; C00006; C00003; C02571; C00535; C00219; C00550; C00158; C00116; C00111; C00033; C00016; C00137; C00019; C00157; C00350; C00951; C12126; C00249; C06429; C00473; C01530; C00042; C00487; C00189; C00187	k:C02571; k:C00033; k:C00019; k:C00951; k:C00158; k:C00003; k:C00249; k:C00016; k:C00189; k:C00487; k:C00021; k:C00042; k:C00116; k:C00024; k:C00111; k:C12126; k:C00137; k:C00550; k:C00535; k:C00187; k:C00006; k:C00149; k:C06429; k:C00473; k:C01530; k:C00219; k:C00157; k:C00350	271	202
2.06258827739e-09	3.99392093713e-08	Transport of fatty acids	Reactome	C06424; C01571; C00249; C01595; C01530; C00712; C02679	k:C01530; k:C00712; k:C02679; k:C00249; k:C01595; k:C06424; k:C01571	9	9
2.83511214269e-09	5.25112075124e-08	The citric acid (TCA) cycle and respiratory electron transport	Reactome	C00036; C00158; C00122; C00079; C00024; C00016; C00022; C00003; C00149; C00042; C11378; C00186	k:C00158; k:C00036; k:C00186; k:C00003; k:C00042; k:C00022; k:C00024; k:C00079; k:C11378; k:C00122; k:C00149; k:C00016	44	38
1.22597081015e-08	2.17609818801e-07	Amino acid transport across the plasma membrane	Reactome	C00078; C00123; C00082; C00062; C00079; C00047	k:C00062; k:C00047; k:C00079; k:C00078; k:C00123; k:C00082	7	7
4.79539560217e-08	8.1713541061e-07	Fatty acid metabolism	Reactome	C00158; C00149; C00033; C00016; C00024; C00249; C00019; C00219; C00003; C06429; C02571; C00042; C00487; C00157; C00006	k:C02571; k:C00033; k:C00019; k:C00249; k:C00149; k:C00487; k:C06429; k:C00042; k:C00016; k:C00158; k:C00006; k:C00024; k:C00219; k:C00157; k:C00003	99	78
1.01988275963e-07	1.67103867539e-06	Pyruvate metabolism and Citric Acid (TCA) cycle	Reactome	C00036; C00024; C00122; C00149; C00016; C00158; C00022; C00003; C00042; C00186	k:C00036; k:C00149; k:C00022; k:C00016; k:C00024; k:C00158; k:C00186; k:C00042; k:C00122; k:C00003	34	33
1.26005239284e-07	1.98808266426e-06	Citric acid cycle (TCA cycle)	Reactome	C00036; C00158; C00122; C00149; C00024; C00016; C00022; C00003; C00042	k:C00036; k:C00149; k:C00042; k:C00022; k:C00016; k:C00158; k:C00024; k:C00122; k:C00003	27	26
1.69573060866e-07	2.52092251572e-06	Metabolism of polyamines	Reactome	C00024; C00750; C00019; C00062; C00077; C00315; C00134	k:C00019; k:C00062; k:C00134; k:C00077; k:C00315; k:C00750; k:C00024	14	14
1.78736977581e-07	2.52092251572e-06	TCA cycle II (plants and fungi)	YeastCyc	C00036; C00024; C00122; C00149; C00158; C00003; C00042; C00091	k:C00091; k:C00036; k:C00158; k:C00024; k:C00122; k:C00149; k:C00042; k:C00003	21	20
1.78736977581e-07	2.52092251572e-06	Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00158; C00122; C00149; C00024; C00022; C00042; C00091	k:C00158; k:C00149; k:C00091; k:C00024; k:C00022; k:C00036; k:C00042; k:C00122	20	20
1.83447413116e-07	2.52092251572e-06	triacylglycerol degradation	YeastCyc	C00116; C01571; C00246; C00249; C01595; C06428; C01530; C00712; C02679	k:C00246; k:C01530; k:C01595; k:C00116; k:C00712; k:C02679; k:C00249; k:C06428; k:C01571	58	27
2.80259892355e-07	3.73095981697e-06	Glutamate and glutamine metabolism	Reactome	C00036; C00148; C00022; C00006; C00003; C00077; C00064; C00041	k:C00006; k:C00077; k:C00036; k:C00064; k:C00003; k:C00022; k:C00148; k:C00041	21	21
4.48576096589e-07	5.79070961051e-06	Glutathione metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00037; C00750; C00024; C00072; C00006; C00134; C00077; C00315; C01672; C00097	k:C00077; k:C00072; k:C00037; k:C00315; k:C00006; k:C00750; k:C00024; k:C01672; k:C00097; k:C00134	38	38
2.52110234188e-06	3.15879293424e-05	glyoxylate cycle	YeastCyc	C00036; C00158; C00149; C00024; C00003; C00042	k:C00158; k:C00036; k:C00149; k:C00024; k:C00042; k:C00003	13	13
3.04528177706e-06	3.70654296294e-05	Galactose metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00159; C00243; C00116; C00124; C00031; C00137; C00089; C00794; C00111; C00095	k:C00159; k:C00116; k:C00243; k:C00111; k:C00031; k:C00124; k:C00089; k:C00794; k:C00095; k:C00137	46	46
3.47570723967e-06	4.1129202336e-05	Alanine, aspartate and glutamate metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00158; C00122; C00022; C00334; C00064; C00042; C00041	k:C00158; k:C00036; k:C00334; k:C00041; k:C00122; k:C00064; k:C00022; k:C00042	28	28
4.28474930264e-06	4.80835153244e-05	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	Reactome	C00262; C00387; C00299; C00214; C00475; C00212	k:C00212; k:C00262; k:C00475; k:C00387; k:C00299; k:C00214	14	14
4.28913986462e-06	4.80835153244e-05	Metabolism of carbohydrates	Reactome	C00159; C00121; C00354; C00111; C00158; C00006; C00022; C00003; C00149; C00794; C00036; C00095	k:C00095; k:C00794; k:C00022; k:C00159; k:C00121; k:C00158; k:C00003; k:C00006; k:C00354; k:C00036; k:C00149; k:C00111	75	70
4.65911053799e-06	5.08918227996e-05	superpathway of leucine, valine, and isoleucine biosynthesis	YeastCyc	C00024; C00123; C00022; C00407; C00003; C00188; C00006; C00183	k:C00123; k:C00022; k:C00407; k:C00024; k:C00003; k:C00183; k:C00006; k:C00188	31	29
6.1671452576e-06	6.56800969935e-05	acyl-CoA hydrolysis	YeastCyc	C01571; C00246; C00249; C01595; C06428; C01530; C00712; C02679	k:C01530; k:C00246; k:C01595; k:C06428; k:C00712; k:C02679; k:C00249; k:C01571	41	30
6.93546376448e-06	7.20611600895e-05	Beta-oxidation of pristanoyl-CoA	Reactome	C00024; C00033; C00016; C00003; C02571; C00487	k:C00016; k:C02571; k:C00487; k:C00024; k:C00003; k:C00033	18	15
7.85680938552e-06	7.9690495196e-05	Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00158; C00149; C00024; C00033; C00037; C00022; C00065; C00064; C00042; C00091	k:C00158; k:C00065; k:C00033; k:C00037; k:C00036; k:C00042; k:C00064; k:C00149; k:C00022; k:C00024; k:C00091	62	62
1.04430291431e-05	0.00010345884686	Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00024; C00122; C00149; C00033; C00022; C00042; C00186	k:C00033; k:C00036; k:C00186; k:C00042; k:C00149; k:C00024; k:C00022; k:C00122	32	32
1.33809706821e-05	0.000126673189124	Sulfur amino acid metabolism	Reactome	C00149; C00021; C00022; C00019; C00003; C00032; C00212; C00097	k:C00149; k:C00212; k:C00022; k:C00019; k:C00021; k:C00003; k:C00032; k:C00097	43	33
1.33809706821e-05	0.000126673189124	Peroxisomal lipid metabolism	Reactome	C00024; C00033; C00016; C00006; C00003; C02571; C00042; C00487	k:C02571; k:C00033; k:C00487; k:C00016; k:C00024; k:C00003; k:C00006; k:C00042	51	33
1.61758824513e-05	0.000149161439432	cysteine biosynthesis IV (fungi)	YeastCyc	C00024; C00033; C00022; C00065; C00042; C00097	k:C00022; k:C00097; k:C00024; k:C00065; k:C00033; k:C00042	17	17
1.66954710891e-05	0.000149161439432	Glycerophospholipid biosynthesis	Reactome	C00024; C00021; C00016; C00137; C00019; C00003; C00157; C00350; C00189; C00111	k:C00137; k:C00189; k:C00019; k:C00003; k:C00021; k:C00016; k:C00024; k:C00157; k:C00350; k:C00111	67	55
1.71570669769e-05	0.000149161439432	Gluconeogenesis	Reactome	C00036; C00158; C00149; C00111; C00022; C00354; C00003	k:C00149; k:C00003; k:C00022; k:C00158; k:C00354; k:C00036; k:C00111	28	25
1.71570669769e-05	0.000149161439432	Signaling by Nuclear Receptors	Reactome	C00032; C00016; C00006; C00062; C00003; C00951; C00473	k:C00473; k:C00062; k:C00951; k:C00016; k:C00003; k:C00006; k:C00032	27	25
2.27949803869e-05	0.000193943347852	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	YeastCyc	C00024; C00033; C00022; C00006; C00065; C00042; C00097	k:C00033; k:C00042; k:C00022; k:C00024; k:C00065; k:C00006; k:C00097	27	26
2.32185698132e-05	0.000193943347852	fatty acid &beta;-oxidation (peroxisome)	YeastCyc	C00024; C01571; C00246; C00249; C01595; C00003; C06428; C01530; C00712; C02679	k:C00003; k:C02679; k:C00249; k:C01530; k:C06428; k:C00246; k:C01595; k:C00024; k:C01571; k:C00712	101	57
3.02380651762e-05	0.000247719533944	Metabolism of vitamins and cofactors	Reactome	C00037; C00021; C00016; C00072; C00019; C00003; C00064; C00041; C00006; C00032; C00097	k:C00072; k:C00019; k:C00003; k:C00037; k:C00021; k:C00016; k:C00041; k:C00006; k:C00064; k:C00032; k:C00097	88	71
3.70598830962e-05	0.000292361299981	Biological oxidations	Reactome	C00037; C00021; C00033; C00024; C00019; C00003; C00486; C00006; C00212; C00097	k:C00033; k:C00037; k:C00019; k:C00003; k:C00021; k:C00212; k:C00486; k:C00024; k:C00006; k:C00097	74	60
3.70598830962e-05	0.000292361299981	fatty acid oxidation (non-cyclic)	YeastCyc	C00024; C01571; C00246; C00249; C01595; C00003; C06428; C01530; C00712; C02679	k:C00246; k:C00003; k:C02679; k:C00249; k:C01530; k:C06428; k:C01595; k:C00024; k:C01571; k:C00712	98	60
4.16999918369e-05	0.000322985391318	Signal Transduction	Reactome	C00032; C00016; C00006; C00062; C00003; C00157; C00951; C00219; C00473	k:C00062; k:C00473; k:C00157; k:C00951; k:C00016; k:C00219; k:C00006; k:C00032; k:C00003	52	49
4.95033008844e-05	0.000376578681728	Glucose metabolism	Reactome	C00036; C00158; C00149; C00111; C00022; C00354; C00003	k:C00149; k:C00022; k:C00158; k:C00003; k:C00354; k:C00036; k:C00111	32	29
5.4175958172e-05	0.00040489400318	Pyruvate metabolism	Reactome	C00186; C00024; C00003; C00016; C00022	k:C00022; k:C00016; k:C00024; k:C00186; k:C00003	13	13
5.74331000551e-05	0.000421836217646	Phospholipid metabolism	Reactome	C00024; C00021; C00016; C00137; C00019; C00003; C00157; C00350; C00189; C00111	k:C00137; k:C00189; k:C00019; k:C00021; k:C00016; k:C00024; k:C00003; k:C00157; k:C00350; k:C00111	77	63
6.31085105177e-05	0.000455664838653	gluconeogenesis	YeastCyc	C00036; C00149; C00111; C00022; C00354; C00003	k:C00149; k:C00022; k:C00003; k:C00354; k:C00036; k:C00111	22	21
7.86245342661e-05	0.000558234193289	Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)	KEGG	C00036; C00024; C00111; C00033; C00022; C00031; C00186	k:C00111; k:C00033; k:C00031; k:C00036; k:C00186; k:C00022; k:C00024	31	31
8.18932964328e-05	0.000571910561973	arginine degradation VI (arginase 2 pathway)	YeastCyc	C00006; C00148; C00062; C00003; C00077	k:C00006; k:C00062; k:C00077; k:C00003; k:C00148	14	14
9.39194183703e-05	0.000645317293963	Metabolism of nucleotides	Reactome	C00037; C00122; C00016; C00385; C00387; C00003; C00064; C00299; C00006; C00475; C00212; C00262	k:C00003; k:C00385; k:C00037; k:C00016; k:C00475; k:C00212; k:C00387; k:C00006; k:C00064; k:C00122; k:C00299; k:C00262	95	94
9.6463044617e-05	0.000652273920744	threonine degradation	YeastCyc	C00024; C00003; C00188; C00037	k:C00024; k:C00188; k:C00003; k:C00037	8	8
0.000110749730308	0.000714839168354	Fatty acyl-CoA biosynthesis	Reactome	C00158; C00149; C00024; C00249; C00006; C00219	k:C00158; k:C00149; k:C00024; k:C00219; k:C00006; k:C00249	23	23
0.000110749730308	0.000714839168354	Taurine and hypotaurine metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00024; C00245; C00033; C00022; C00041; C00097	k:C00245; k:C00033; k:C00097; k:C00022; k:C00024; k:C00041	23	23
0.000110749730308	0.000714839168354	Valine, leucine and isoleucine biosynthesis - Saccharomyces cerevisiae (budding yeast)	KEGG	C00024; C00123; C00022; C00407; C00188; C00183	k:C00407; k:C00022; k:C00188; k:C00183; k:C00123; k:C00024	23	23
0.000143843430712	0.000914586589306	Metabolism of water-soluble vitamins and cofactors	Reactome	C00037; C00032; C00016; C00072; C00006; C00003; C00064; C00041; C00097	k:C00072; k:C00037; k:C00016; k:C00041; k:C00006; k:C00097; k:C00064; k:C00032; k:C00003	69	57
0.000168733634164	0.000985485384505	Tryptophan catabolism	Reactome	C00006; C00041; C00032; C00078; C00022	k:C00022; k:C00006; k:C00041; k:C00078; k:C00032	17	16
0.000168733634164	0.000985485384505	chitin degradation to ethanol	YeastCyc	C00024; C00149; C00003; C00033; C00022	k:C00022; k:C00024; k:C00149; k:C00033; k:C00003	17	16
0.00016887425603	0.000985485384505	Chromatin modifying enzymes	Reactome	C00019; C00042; C00021; C00024	k:C00019; k:C00024; k:C00021; k:C00042	9	9
0.00016887425603	0.000985485384505	Chromatin organization	Reactome	C00019; C00042; C00021; C00024	k:C00019; k:C00024; k:C00021; k:C00042	9	9
0.00016887425603	0.000985485384505	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	YeastCyc	C00073; C00021; C00019; C00022	k:C00022; k:C00073; k:C00019; k:C00021	9	9
0.00016887425603	0.000985485384505	wybutosine biosynthesis	YeastCyc	C00073; C00021; C00019; C00022	k:C00022; k:C00073; k:C00019; k:C00021	9	9
0.00017282869015	0.000994932729781	glycine biosynthesis from glyoxylate	YeastCyc	C00037; C00041; C00022	k:C00022; k:C00037; k:C00041	4	4
0.000178703212664	0.00101503424793	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	YeastCyc	C00078; C00082; C00022; C00006; C00065; C00064; C00041	k:C00078; k:C00022; k:C00065; k:C00006; k:C00041; k:C00064; k:C00082	35	35
0.00019995670135	0.00112080993125	Phase II - Conjugation of compounds	Reactome	C00037; C00021; C00019; C00003; C00486; C00006; C00212; C00097	k:C00037; k:C00212; k:C00019; k:C00021; k:C00486; k:C00003; k:C00006; k:C00097	56	47
0.00021614457028	0.00119581281739	Phenylalanine metabolism - Saccharomyces cerevisiae (budding yeast)	KEGG	C00024; C00122; C00079; C00082; C00022; C01586; C04148; C00042; C00091	k:C00079; k:C01586; k:C00082; k:C00042; k:C00122; k:C00022; k:C00024; k:C04148; k:C00091	60	60
